ID,URL,Title,Difficulty,Acceptance %,Frequency %,Frequency,Weight,PriorityScore,Completed
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,65.8%,50.0%,50.0,2,100.0,No
72,https://leetcode.com/problems/edit-distance,Edit Distance,Medium,60.1%,50.0%,50.0,2,100.0,No
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,68.6%,50.0%,50.0,2,100.0,No
221,https://leetcode.com/problems/maximal-square,Maximal Square,Medium,50.0%,50.0%,50.0,2,100.0,No
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.8%,50.0%,50.0,2,100.0,No
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,50.8%,50.0%,50.0,2,100.0,No
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,78.2%,50.0%,50.0,2,100.0,No
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,44.4%,50.0%,50.0,2,100.0,No
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,63.8%,50.0%,50.0,2,100.0,No
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.1%,100.0%,100.0,1,100.0,No
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,56.1%,50.0%,50.0,2,100.0,No
198,https://leetcode.com/problems/house-robber,House Robber,Medium,52.9%,50.0%,50.0,2,100.0,No
16,https://leetcode.com/problems/3sum-closest,3Sum Closest,Medium,48.0%,50.0%,50.0,2,100.0,No
2188,https://leetcode.com/problems/minimum-time-to-finish-the-race,Minimum Time to Finish the Race,Hard,43.3%,25.0%,25.0,3,75.0,No
300,https://leetcode.com/problems/longest-increasing-subsequence,Longest Increasing Subsequence,Medium,59.0%,37.5%,37.5,2,75.0,No
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,47.9%,37.5%,37.5,2,75.0,No
757,https://leetcode.com/problems/set-intersection-size-at-least-two,Set Intersection Size At Least Two,Hard,57.9%,25.0%,25.0,3,75.0,No
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,79.3%,37.5%,37.5,2,75.0,No
279,https://leetcode.com/problems/perfect-squares,Perfect Squares,Medium,56.3%,37.5%,37.5,2,75.0,No
1192,https://leetcode.com/problems/critical-connections-in-a-network,Critical Connections in a Network,Hard,59.3%,25.0%,25.0,3,75.0,No
1044,https://leetcode.com/problems/longest-duplicate-substring,Longest Duplicate Substring,Hard,31.1%,25.0%,25.0,3,75.0,No
1349,https://leetcode.com/problems/maximum-students-taking-exam,Maximum Students Taking Exam,Hard,53.4%,25.0%,25.0,3,75.0,No
2092,https://leetcode.com/problems/find-all-people-with-secret,Find All People With Secret,Hard,48.4%,25.0%,25.0,3,75.0,No
